event,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_20260623_225641_674_left_2_cam_3,3,left_2,155,1782251808.635461,11.810122,0,Left,0.996818,237.01,229.94,-0.000000,0.185164,0.287420,180.03,280.51,0.027711,0.140650,0.350641,141.65,339.60,0.018913,0.110664,0.424495,131.71,398.87,0.001708,0.102902,0.498590,135.95,452.25,-0.023060,0.106211,0.565318,66.32,311.71,-0.020951,0.051810,0.389639,6.66,386.20,-0.044382,0.005202,0.482753,-15.27,445.72,-0.059662,-0.011928,0.557154,-30.41,492.42,-0.069979,-0.023757,0.615520,77.81,299.49,-0.050388,0.060792,0.374360,31.51,401.44,-0.079015,0.024617,0.501795,26.65,472.02,-0.095633,0.020820,0.590021,24.39,523.41,-0.106503,0.019058,0.654265,110.09,295.04,-0.073838,0.086008,0.368796,130.32,410.21,-0.089613,0.101810,0.512757,176.11,442.66,-0.086080,0.137585,0.553325,198.25,449.48,-0.083815,0.154880,0.561848,151.09,303.36,-0.094865,0.118043,0.379205,178.07,395.03,-0.101871,0.139114,0.493792,217.77,418.97,-0.090595,0.170133,0.523707,244.30,419.90,-0.082039,0.190861,0.524873
event_20260623_225641_674_left_2_cam_3,3,left_2,156,1782251808.690568,11.864362,0,Left,0.998783,232.72,220.59,0.000000,0.181814,0.275733,189.93,318.41,0.039874,0.148380,0.398010,159.33,381.23,0.024406,0.124478,0.476538,148.33,437.66,-0.005669,0.115879,0.547080,135.61,492.51,-0.039517,0.105944,0.615637,53.09,355.98,-0.014951,0.041474,0.444973,22.18,448.32,-0.045832,0.017331,0.560405,3.79,515.86,-0.064881,0.002962,0.644831,-6.16,567.35,-0.078668,-0.004812,0.709188,65.20,333.65,-0.063122,0.050939,0.417064,22.75,430.44,-0.105869,0.017775,0.538044,2.58,502.01,-0.125551,0.002017,0.627511,-10.35,553.16,-0.137822,-0.008086,0.691456,100.26,315.49,-0.106121,0.078328,0.394365,119.16,430.74,-0.137531,0.093097,0.538424,177.15,435.69,-0.122247,0.138396,0.544615,208.90,418.72,-0.108888,0.163199,0.523399,146.91,306.30,-0.146790,0.114774,0.382870,168.06,400.07,-0.164136,0.131296,0.500091,209.88,414.46,-0.148257,0.163972,0.518076,236.67,405.44,-0.135003,0.184902,0.506804
event_20260623_225641_674_left_2_cam_3,3,left_2,157,1782251808.742461,11.917127,0,Left,0.997440,241.14,229.20,-0.000000,0.188389,0.286497,200.62,331.61,0.011856,0.156734,0.414506,157.24,396.17,-0.001697,0.122846,0.495215,131.92,445.70,-0.021568,0.103063,0.557124,115.66,493.38,-0.043574,0.090360,0.616727,27.02,354.28,-0.021632,0.021113,0.442855,24.10,451.17,-0.050057,0.018825,0.563960,37.77,515.93,-0.071343,0.029505,0.644909,54.36,567.09,-0.084790,0.042467,0.708867,37.88,327.40,-0.046557,0.029593,0.409248,40.80,440.17,-0.071736,0.031871,0.550208,61.10,513.01,-0.084384,0.047732,0.641259,84.42,562.53,-0.094570,0.065956,0.703158,72.44,306.10,-0.070439,0.056592,0.382630,107.94,420.79,-0.094067,0.084332,0.525987,157.89,435.86,-0.091499,0.123352,0.544826,194.25,425.03,-0.088717,0.151761,0.531285,123.80,293.98,-0.093667,0.096721,0.367481,154.76,392.92,-0.112975,0.120903,0.491144,193.90,416.74,-0.109009,0.151482,0.520921,223.80,414.72,-0.104089,0.174841,0.518399
event_20260623_225641_674_left_2_cam_3,3,left_2,158,1782251808.793961,11.968667,0,Left,0.997225,235.91,217.96,-0.000000,0.184303,0.272448,189.21,317.37,0.028748,0.147823,0.396718,144.02,379.98,0.021425,0.112512,0.474970,118.92,432.74,0.003747,0.092904,0.540920,100.99,484.40,-0.018178,0.078895,0.605506,32.02,345.13,-0.004997,0.025014,0.431414,18.22,440.34,-0.033242,0.014237,0.550424,29.60,505.59,-0.055351,0.023126,0.631993,45.74,557.47,-0.070200,0.035738,0.696837,39.16,325.21,-0.040475,0.030593,0.406518,34.72,436.27,-0.067183,0.027121,0.545335,52.08,508.30,-0.083351,0.040688,0.635379,73.84,559.06,-0.096608,0.057686,0.698824,69.51,309.16,-0.074580,0.054304,0.386445,81.95,423.96,-0.100016,0.064021,0.529951,121.46,472.33,-0.103962,0.094894,0.590407,154.55,498.37,-0.108229,0.120746,0.622958,114.70,298.55,-0.106404,0.089606,0.373186,138.63,388.57,-0.132093,0.108304,0.485711,177.25,420.06,-0.134903,0.138476,0.525079,209.74,431.91,-0.135763,0.163856,0.539893
event_20260623_225641_674_left_2_cam_3,3,left_2,159,1782251808.845767,12.018956,0,Left,0.996049,233.48,222.06,-0.000001,0.182406,0.277573,159.80,308.09,0.068549,0.124847,0.385108,104.14,359.40,0.073867,0.081358,0.449244,73.29,408.29,0.059694,0.057255,0.510362,52.52,457.98,0.038457,0.041033,0.572471,14.22,345.06,0.015960,0.011108,0.431330,15.22,441.32,0.002116,0.011893,0.551652,38.56,502.85,0.000477,0.030121,0.628566,63.63,548.13,-0.000381,0.049710,0.685162,26.81,332.61,-0.039552,0.020944,0.415769,42.07,442.53,-0.053318,0.032865,0.553157,79.57,497.73,-0.047680,0.062164,0.622167,112.94,527.21,-0.045095,0.088236,0.659018,60.09,321.08,-0.090160,0.046948,0.401345,93.53,426.47,-0.104890,0.073071,0.533087,142.71,437.35,-0.087350,0.111495,0.546685,175.16,425.24,-0.077242,0.136846,0.531548,105.17,314.36,-0.136151,0.082167,0.392951,133.00,404.44,-0.156421,0.103904,0.505556,171.54,423.51,-0.149942,0.134017,0.529384,200.09,418.19,-0.143524,0.156321,0.522735
event_20260623_225641_674_left_2_cam_3,3,left_2,160,1782251808.899027,12.073764,0,Left,0.989072,209.19,232.86,-0.000000,0.163428,0.291072,169.37,322.49,0.005497,0.132319,0.403113,125.03,389.05,-0.005625,0.097681,0.486318,102.04,441.45,-0.021288,0.079715,0.551811,87.71,487.26,-0.039054,0.068525,0.609074,-0.55,352.91,-0.016272,-0.000427,0.441135,-10.79,448.89,-0.046573,-0.008430,0.561111,10.03,515.48,-0.069984,0.007835,0.644346,32.92,562.60,-0.084336,0.025720,0.703249,4.42,335.62,-0.036395,0.003452,0.419528,5.66,448.71,-0.058840,0.004423,0.560886,39.84,510.87,-0.070741,0.031128,0.638590,69.17,543.62,-0.080026,0.054037,0.679530,36.34,323.15,-0.057246,0.028390,0.403943,53.41,436.74,-0.080180,0.041728,0.545926,99.17,466.77,-0.079871,0.077474,0.583465,126.44,470.52,-0.079551,0.098783,0.588154,87.29,314.99,-0.077717,0.068197,0.393733,120.76,407.96,-0.101745,0.094340,0.509955,157.65,422.27,-0.101230,0.123166,0.527836,177.56,412.77,-0.097850,0.138716,0.515958
event_20260623_225641_674_left_2_cam_3,3,left_2,161,1782251808.951133,12.125830,0,Left,0.993590,207.59,221.56,-0.000001,0.162181,0.276953,172.47,315.65,0.016314,0.134743,0.394562,132.68,384.22,0.004796,0.103653,0.480275,116.92,442.40,-0.013985,0.091341,0.553000,112.19,494.43,-0.035201,0.087651,0.618037,0.26,344.61,-0.010922,0.000201,0.430757,2.46,448.82,-0.038005,0.001919,0.561029,39.45,501.26,-0.056577,0.030818,0.626580,68.74,528.94,-0.068584,0.053701,0.661179,7.09,329.63,-0.037791,0.005536,0.412033,17.48,449.38,-0.058991,0.013654,0.561731,62.27,493.75,-0.066169,0.048650,0.617190,95.45,505.92,-0.072996,0.074571,0.632401,39.70,319.47,-0.064647,0.031013,0.399342,57.25,441.22,-0.084005,0.044730,0.551519,104.65,467.64,-0.079779,0.081758,0.584553,130.66,466.91,-0.079359,0.102077,0.583635,88.65,314.36,-0.090413,0.069257,0.392946,119.63,412.58,-0.112258,0.093463,0.515728,157.90,427.88,-0.111010,0.123360,0.534845,178.03,419.60,-0.108791,0.139090,0.524497
event_20260623_225641_674_left_2_cam_3,3,left_2,162,1782251809.004073,12.177777,0,Left,0.934750,203.49,205.63,-0.000001,0.158977,0.257036,176.21,293.59,-0.007816,0.137666,0.366988,143.98,363.97,-0.028771,0.112485,0.454959,132.09,430.50,-0.050971,0.103196,0.538121,126.93,485.91,-0.071297,0.099168,0.607386,11.66,327.08,-0.039401,0.009110,0.408852,38.70,443.83,-0.068762,0.030231,0.554785,88.47,454.44,-0.077979,0.069114,0.568046,115.72,437.78,-0.081982,0.090407,0.547220,8.43,319.95,-0.051729,0.006589,0.399935,37.39,449.93,-0.080070,0.029211,0.562408,93.79,453.85,-0.079076,0.073275,0.567314,114.27,432.30,-0.077640,0.089271,0.540377,29.87,315.53,-0.065238,0.023334,0.394415,64.21,439.33,-0.087709,0.050161,0.549161,117.16,432.30,-0.073917,0.091534,0.540372,132.50,407.29,-0.065947,0.103513,0.509108,64.02,314.73,-0.079732,0.050014,0.393410,104.01,409.59,-0.101185,0.081260,0.511992,146.36,407.99,-0.096796,0.114345,0.509986,158.36,389.32,-0.091753,0.123718,0.486647
event_20260623_225641_674_left_2_cam_3,3,left_2,163,1782251809.057026,12.231783,0,Left,0.886956,195.47,202.28,-0.000001,0.152710,0.252852,186.55,277.25,-0.015368,0.145743,0.346557,150.79,338.56,-0.027871,0.117801,0.423196,119.55,388.75,-0.038543,0.093401,0.485941,95.06,427.85,-0.045266,0.074266,0.534813,24.82,318.94,-0.029327,0.019387,0.398672,59.35,443.96,-0.062181,0.046366,0.554953,110.01,432.35,-0.076560,0.085947,0.540436,129.37,396.42,-0.081512,0.101067,0.495531,13.14,320.27,-0.031732,0.010265,0.400336,54.29,455.60,-0.064231,0.042412,0.569499,108.63,437.57,-0.066595,0.084865,0.546965,119.01,400.70,-0.063266,0.092977,0.500876,21.80,321.06,-0.037178,0.017028,0.401325,62.20,447.37,-0.066079,0.048596,0.559214,116.60,426.65,-0.055304,0.091091,0.533315,125.15,391.49,-0.043651,0.097776,0.489367,44.43,320.32,-0.044083,0.034712,0.400399,84.98,417.89,-0.069609,0.066389,0.522360,130.56,405.11,-0.067239,0.102002,0.506387,141.35,376.03,-0.059657,0.110426,0.470036
event_20260623_225641_674_left_2_cam_3,3,left_2,164,1782251809.107028,12.280701,0,Right,0.551971,187.94,216.16,-0.000001,0.146828,0.270200,163.92,272.40,-0.023921,0.128060,0.340498,113.36,324.19,-0.028783,0.088561,0.405242,76.28,369.04,-0.027946,0.059593,0.461296,56.60,404.14,-0.024824,0.044222,0.505177,12.20,317.61,-0.026617,0.009530,0.397017,44.92,423.95,-0.039792,0.035092,0.529932,95.83,444.67,-0.044129,0.074867,0.555842,136.09,434.17,-0.043537,0.106321,0.542718,6.76,329.65,-0.013709,0.005283,0.412067,42.47,437.46,-0.029649,0.033180,0.546820,99.21,450.56,-0.034261,0.077512,0.563199,139.68,437.40,-0.033920,0.109127,0.546751,17.95,338.79,-0.002190,0.014024,0.423485,48.86,436.19,-0.019138,0.038173,0.545237,102.02,445.82,-0.022737,0.079706,0.557280,140.52,433.07,-0.021158,0.109778,0.541331,40.90,345.32,0.008370,0.031953,0.431644,65.45,417.23,-0.009190,0.051130,0.521533,105.25,426.65,-0.014647,0.082229,0.533318,134.51,421.96,-0.013389,0.105086,0.527454
