event,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_20260624_123432_082_right_1_cam_3,3,right_1,318,1782300881.689651,20.819398,0,Left,0.994129,205.65,286.22,-0.000000,0.160662,0.357773,153.12,342.52,0.011243,0.119627,0.428155,97.30,390.60,0.002888,0.076013,0.488254,61.45,439.67,-0.009730,0.048005,0.549586,44.31,484.48,-0.027557,0.034616,0.605606,20.19,363.82,-0.021250,0.015774,0.454775,-10.92,460.11,-0.046984,-0.008532,0.575136,-10.58,524.84,-0.061009,-0.008269,0.656048,-9.07,568.85,-0.067408,-0.007089,0.711062,34.99,349.90,-0.041787,0.027337,0.437371,16.62,466.95,-0.063263,0.012986,0.583686,46.03,528.80,-0.067035,0.035957,0.660994,64.92,564.26,-0.066992,0.050720,0.705319,65.75,346.65,-0.060806,0.051369,0.433318,85.36,464.93,-0.079040,0.066686,0.581167,132.59,488.23,-0.069336,0.103588,0.610289,147.85,479.78,-0.060629,0.115506,0.599726,106.38,352.91,-0.078657,0.083108,0.441139,120.35,445.97,-0.090106,0.094024,0.557462,158.33,457.30,-0.076752,0.123695,0.571622,178.92,438.83,-0.064401,0.139782,0.548538
event_20260624_123432_082_right_1_cam_3,3,right_1,319,1782300881.723536,20.852696,0,Left,0.995468,222.96,299.23,-0.000001,0.174189,0.374039,192.06,398.18,-0.012558,0.150045,0.497729,139.92,452.02,-0.035043,0.109310,0.565030,98.15,488.27,-0.058737,0.076682,0.610336,63.16,512.92,-0.083099,0.049343,0.641151,0.74,375.25,-0.043511,0.000574,0.469058,17.25,490.09,-0.084928,0.013473,0.612608,69.22,528.96,-0.107162,0.054080,0.661201,109.02,531.46,-0.118174,0.085172,0.664330,9.83,357.38,-0.057203,0.007683,0.446729,21.93,485.84,-0.096679,0.017136,0.607298,86.43,517.42,-0.103694,0.067524,0.646771,125.43,510.50,-0.104266,0.097995,0.638131,42.29,347.63,-0.073410,0.033037,0.434538,64.82,475.08,-0.108859,0.050644,0.593851,122.32,493.05,-0.101845,0.095565,0.616313,151.31,475.73,-0.093263,0.118208,0.594667,89.27,348.58,-0.090679,0.069743,0.435728,119.15,449.96,-0.121285,0.093089,0.562447,159.82,460.61,-0.120505,0.124860,0.575761,176.88,440.48,-0.114810,0.138189,0.550600
event_20260624_123432_082_right_1_cam_3,3,right_1,320,1782300881.756510,20.885518,0,Right,0.523010,208.66,309.56,-0.000000,0.163013,0.386944,212.20,375.67,-0.076381,0.165780,0.469594,176.25,423.96,-0.124083,0.137699,0.529945,130.59,470.18,-0.154279,0.102025,0.587719,84.59,506.54,-0.180339,0.066087,0.633171,44.19,348.16,-0.139748,0.034521,0.435200,61.73,468.20,-0.185611,0.048225,0.585251,113.54,494.92,-0.194201,0.088702,0.618650,147.81,485.79,-0.194285,0.115473,0.607238,21.19,354.28,-0.114174,0.016552,0.442853,21.49,478.76,-0.162289,0.016786,0.598444,89.25,509.12,-0.157886,0.069730,0.636402,124.58,499.77,-0.148960,0.097330,0.624718,19.39,365.02,-0.091283,0.015146,0.456272,36.08,481.70,-0.133072,0.028191,0.602122,100.73,500.31,-0.117940,0.078698,0.625393,133.59,482.43,-0.103215,0.104364,0.603041,30.70,379.82,-0.073371,0.023987,0.474774,55.30,463.61,-0.109641,0.043206,0.579514,110.17,479.23,-0.108699,0.086074,0.599035,140.11,462.38,-0.101796,0.109463,0.577972
event_20260624_123432_082_right_1_cam_3,3,right_1,321,1782300881.788740,20.918547,0,Right,0.859535,197.96,299.67,-0.000000,0.154660,0.374586,217.55,350.84,-0.080988,0.169958,0.438545,184.07,405.82,-0.118700,0.143806,0.507281,138.35,467.60,-0.136687,0.108086,0.584502,97.73,516.75,-0.146409,0.076349,0.645932,52.07,337.47,-0.118337,0.040680,0.421841,81.83,459.31,-0.152766,0.063932,0.574139,139.73,466.87,-0.157630,0.109168,0.583586,173.04,446.54,-0.155424,0.135191,0.558170,16.41,348.66,-0.082797,0.012823,0.435828,59.93,470.27,-0.120558,0.046824,0.587843,122.55,468.66,-0.116813,0.095742,0.585823,148.25,439.77,-0.109167,0.115819,0.549714,5.13,363.69,-0.050973,0.004012,0.454609,43.74,472.41,-0.085663,0.034173,0.590509,99.72,473.53,-0.077326,0.077905,0.591914,125.31,448.91,-0.066353,0.097900,0.561143,7.48,378.81,-0.024609,0.005841,0.473512,26.93,454.35,-0.056726,0.021041,0.567943,68.62,466.39,-0.061452,0.053613,0.582991,91.89,455.50,-0.057543,0.071789,0.569379
event_20260624_123432_082_right_1_cam_3,3,right_1,322,1782300881.824737,20.953908,0,Right,0.719608,199.98,301.62,-0.000001,0.156232,0.377030,209.19,367.05,-0.060535,0.163427,0.458818,159.77,418.95,-0.085775,0.124819,0.523694,102.97,464.46,-0.096101,0.080448,0.580576,56.50,501.67,-0.099882,0.044141,0.627083,40.78,343.23,-0.087001,0.031858,0.429038,73.18,458.57,-0.120040,0.057170,0.573213,126.08,469.89,-0.128219,0.098503,0.587366,155.94,455.69,-0.128368,0.121830,0.569615,12.70,351.00,-0.062109,0.009924,0.438753,61.10,465.59,-0.097948,0.047732,0.581986,121.54,464.31,-0.097190,0.094949,0.580391,147.18,438.31,-0.091307,0.114986,0.547893,6.12,363.11,-0.040868,0.004782,0.453885,48.59,469.60,-0.073245,0.037965,0.586999,105.42,469.41,-0.065330,0.082358,0.586766,133.72,445.99,-0.054422,0.104466,0.557486,13.70,374.30,-0.024010,0.010702,0.467870,42.18,454.27,-0.053457,0.032957,0.567833,87.56,463.74,-0.056554,0.068409,0.579670,113.32,452.26,-0.051458,0.088535,0.565323
event_20260624_123432_082_right_1_cam_3,3,right_1,323,1782300881.856742,20.986498,0,Right,0.904275,187.66,299.21,-0.000000,0.146611,0.374008,208.87,356.26,-0.064338,0.163179,0.445326,174.63,396.60,-0.092372,0.136428,0.495751,128.70,435.31,-0.104723,0.100548,0.544131,98.41,471.57,-0.110388,0.076884,0.589457,43.91,339.84,-0.088147,0.034306,0.424803,77.99,455.74,-0.120495,0.060929,0.569672,126.39,455.49,-0.129507,0.098740,0.569365,148.62,430.20,-0.130714,0.116111,0.537745,8.89,350.06,-0.061340,0.006943,0.437572,56.53,465.40,-0.094560,0.044160,0.581751,112.52,461.73,-0.093762,0.087906,0.577161,132.25,433.36,-0.088346,0.103320,0.541702,0.19,363.87,-0.038341,0.000152,0.454835,42.84,468.61,-0.067238,0.033466,0.585769,94.54,468.01,-0.059240,0.073856,0.585019,114.78,444.36,-0.049384,0.089675,0.555449,6.53,376.45,-0.020388,0.005098,0.470559,38.70,448.30,-0.046877,0.030237,0.560378,81.22,454.63,-0.049715,0.063452,0.568291,101.67,440.65,-0.045224,0.079426,0.550813
event_20260624_123432_082_right_1_cam_3,3,right_1,324,1782300881.890740,21.020032,0,Right,0.887337,182.86,301.67,-0.000000,0.142860,0.377085,203.32,354.06,-0.068093,0.158847,0.442574,173.01,391.07,-0.099239,0.135162,0.488834,131.21,426.41,-0.114451,0.102504,0.533012,100.83,460.17,-0.123217,0.078771,0.575215,40.65,348.24,-0.092755,0.031761,0.435297,74.42,456.82,-0.126713,0.058141,0.571027,123.79,454.72,-0.136436,0.096713,0.568403,147.57,429.95,-0.137555,0.115287,0.537435,8.81,357.20,-0.064451,0.006886,0.446501,55.13,463.43,-0.099094,0.043073,0.579283,111.39,459.05,-0.099546,0.087023,0.573818,133.76,434.18,-0.094665,0.104501,0.542730,0.91,369.13,-0.040216,0.000713,0.461410,43.72,465.06,-0.070216,0.034155,0.581329,95.49,461.69,-0.063221,0.074603,0.577109,117.72,438.45,-0.053563,0.091972,0.548059,4.64,379.85,-0.021163,0.003627,0.474808,34.81,447.79,-0.046702,0.027197,0.559734,76.69,452.55,-0.049249,0.059918,0.565690,97.48,439.07,-0.044677,0.076154,0.548832
event_20260624_123432_082_right_1_cam_3,3,right_1,325,1782300881.924737,21.053896,0,Right,0.726727,179.80,301.49,-0.000000,0.140473,0.376863,194.10,363.88,-0.049607,0.151638,0.454847,164.48,409.64,-0.074059,0.128496,0.512044,132.25,452.13,-0.087475,0.103324,0.565157,114.23,489.91,-0.096345,0.089239,0.612392,32.97,349.04,-0.068695,0.025755,0.436302,66.83,455.15,-0.098958,0.052210,0.568934,117.19,456.49,-0.111393,0.091555,0.570610,144.12,433.45,-0.115444,0.112598,0.541809,5.50,355.95,-0.049795,0.004297,0.444938,53.17,464.38,-0.080654,0.041539,0.580477,109.15,459.98,-0.083914,0.085270,0.574973,131.24,433.69,-0.081699,0.102531,0.542115,0.07,366.15,-0.033832,0.000051,0.457682,47.07,465.88,-0.057182,0.036777,0.582353,98.71,460.37,-0.049792,0.077118,0.575465,119.67,435.58,-0.041633,0.093493,0.544480,7.89,374.71,-0.022154,0.006166,0.468386,47.17,445.77,-0.041505,0.036855,0.557216,90.54,445.99,-0.040991,0.070736,0.557492,110.29,429.18,-0.035527,0.086161,0.536476
event_20260624_123432_082_right_1_cam_3,3,right_1,326,1782300881.957738,21.086910,0,Right,0.912754,171.11,303.49,-0.000000,0.133680,0.379362,190.61,354.05,-0.064157,0.148912,0.442567,166.76,395.42,-0.093350,0.130282,0.494276,137.39,435.37,-0.108064,0.107332,0.544207,115.26,469.40,-0.116692,0.090048,0.586755,34.41,348.83,-0.083620,0.026887,0.436040,65.68,457.56,-0.114268,0.051314,0.571949,115.76,455.50,-0.123448,0.090440,0.569379,140.23,429.46,-0.124821,0.109554,0.536819,5.49,359.78,-0.056578,0.004290,0.449719,48.91,467.83,-0.089166,0.038210,0.584793,106.14,463.47,-0.090518,0.082925,0.579341,128.52,437.96,-0.086012,0.100409,0.547453,-1.03,372.82,-0.033362,-0.000803,0.466022,42.43,470.52,-0.061016,0.033150,0.588154,94.79,466.65,-0.055086,0.074057,0.583315,116.90,443.00,-0.046446,0.091327,0.553749,4.46,383.12,-0.015085,0.003486,0.478904,40.45,451.37,-0.039790,0.031598,0.564216,83.41,453.76,-0.042816,0.065166,0.567204,103.56,438.14,-0.038625,0.080906,0.547673
event_20260624_123432_082_right_1_cam_3,3,right_1,327,1782300881.990741,21.119739,0,Right,0.945682,160.03,305.36,-0.000000,0.125021,0.381696,181.55,351.04,-0.066951,0.141833,0.438798,164.05,396.74,-0.098162,0.128163,0.495920,144.55,449.26,-0.114081,0.112927,0.561572,132.28,492.96,-0.124643,0.103346,0.616204,28.57,350.32,-0.089822,0.022319,0.437895,59.71,456.74,-0.119576,0.046647,0.570930,109.67,459.55,-0.129433,0.085681,0.574442,135.22,437.92,-0.131755,0.105642,0.547399,0.30,360.25,-0.060698,0.000231,0.450318,43.86,465.60,-0.091976,0.034263,0.582004,100.81,464.20,-0.094436,0.078761,0.580254,124.83,441.34,-0.091539,0.097526,0.551681,-5.86,373.23,-0.034875,-0.004576,0.466542,38.86,468.47,-0.061455,0.030357,0.585582,90.81,466.68,-0.057195,0.070945,0.583356,114.47,445.15,-0.050289,0.089432,0.556441,-0.40,385.94,-0.013945,-0.000314,0.482427,37.62,451.16,-0.037522,0.029387,0.563945,78.73,453.45,-0.040885,0.061505,0.566808,98.80,438.64,-0.037468,0.077190,0.548294
