group,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_group_000_left_1_left_2_right_1_right_2,1,left_2,466,1782300886.261357,25.390253,0,Right,0.750406,-0.91,238.84,-0.000000,-0.000710,0.298550,103.90,263.67,-0.035011,0.081169,0.329583,190.42,344.97,-0.027247,0.148766,0.431212,234.68,426.36,-0.010815,0.183340,0.532946,255.48,502.80,0.010484,0.199596,0.628497,98.21,411.34,0.035164,0.076725,0.514178,154.11,470.58,0.048503,0.120397,0.588222,211.70,474.48,0.046705,0.165389,0.593105,251.95,467.28,0.045055,0.196835,0.584097,63.76,422.13,0.062445,0.049810,0.527664,134.55,475.69,0.078384,0.105116,0.594614,169.94,441.29,0.072097,0.132767,0.551616,175.88,401.71,0.068325,0.137406,0.502135,42.70,427.44,0.083438,0.033359,0.534294,112.76,477.43,0.088988,0.088097,0.596781,140.43,424.14,0.075835,0.109714,0.530178,132.55,378.71,0.069013,0.103556,0.473390,22.29,435.72,0.102350,0.017415,0.544650,92.09,466.86,0.100813,0.071942,0.583569,120.92,427.69,0.091261,0.094470,0.534610,113.47,389.68,0.086732,0.088649,0.487103
event_group_000_left_1_left_2_right_1_right_2,1,left_2,467,1782300886.294358,25.424182,0,Left,0.828212,5.55,265.14,0.000000,0.004340,0.331425,117.46,296.68,-0.033260,0.091762,0.370845,198.02,364.49,-0.019910,0.154706,0.455611,243.35,441.37,-0.003508,0.190121,0.551709,266.82,517.37,0.014823,0.208452,0.646718,177.82,395.01,0.085344,0.138923,0.493757,216.03,453.51,0.109159,0.168777,0.566884,236.14,454.70,0.114623,0.184484,0.568370,251.66,444.55,0.119657,0.196606,0.555687,135.63,412.53,0.111992,0.105960,0.515661,180.48,458.72,0.129353,0.140998,0.573405,182.57,428.00,0.115450,0.142633,0.534998,178.61,396.09,0.111411,0.139535,0.495117,99.14,430.57,0.129267,0.077450,0.538217,135.79,469.76,0.131070,0.106088,0.587201,131.89,420.61,0.105993,0.103037,0.525765,130.01,386.69,0.095653,0.101574,0.483360,68.11,455.97,0.144753,0.053208,0.569957,106.80,475.35,0.143063,0.083436,0.594190,104.20,433.09,0.128337,0.081409,0.541356,99.64,406.73,0.121776,0.077847,0.508411
event_group_000_left_1_left_2_right_1_right_2,1,left_2,469,1782300886.360358,25.489728,0,Left,0.609129,16.13,240.25,0.000000,0.012604,0.300307,107.96,234.89,-0.087987,0.084346,0.293614,186.57,303.59,-0.124750,0.145757,0.379482,214.81,399.38,-0.142520,0.167821,0.499219,201.60,478.07,-0.153844,0.157497,0.597592,155.16,400.75,-0.084564,0.121219,0.500934,175.18,461.10,-0.116669,0.136861,0.576375,216.15,465.97,-0.131437,0.168871,0.582464,255.21,465.99,-0.137517,0.199384,0.582489,109.82,424.03,-0.042863,0.085799,0.530037,126.00,470.91,-0.072872,0.098434,0.588638,130.51,407.17,-0.074274,0.101959,0.508963,133.09,362.98,-0.067970,0.103974,0.453721,71.91,437.76,-0.008689,0.056176,0.547196,94.38,483.51,-0.037607,0.073738,0.604391,98.82,416.00,-0.033240,0.077200,0.520004,98.84,373.15,-0.023286,0.077218,0.466437,42.85,450.41,0.019488,0.033476,0.563015,77.29,468.39,-0.003927,0.060379,0.585487,85.69,425.59,-0.007961,0.066945,0.531986,80.95,396.47,-0.004854,0.063245,0.495592
event_group_000_left_1_left_2_right_1_right_2,1,left_2,470,1782300886.393356,25.522899,0,Left,0.997707,44.74,217.77,0.000001,0.034951,0.272209,17.29,255.04,-0.096804,0.013511,0.318799,57.13,325.44,-0.111113,0.044634,0.406799,97.90,391.22,-0.090204,0.076485,0.489026,134.57,455.34,-0.058329,0.105135,0.569175,165.27,297.49,-0.152927,0.129114,0.371859,215.63,394.16,-0.192172,0.168460,0.492694,251.21,467.38,-0.216879,0.196261,0.584226,278.39,529.33,-0.232173,0.217494,0.661668,179.70,318.97,-0.092374,0.140392,0.398707,235.00,410.53,-0.114639,0.183595,0.513158,263.29,479.88,-0.121132,0.205694,0.599845,289.81,535.21,-0.129609,0.226412,0.669014,179.70,346.11,-0.034619,0.140395,0.432638,170.73,426.15,-0.052503,0.133384,0.532689,105.63,406.56,-0.053110,0.082526,0.508195,74.30,382.99,-0.051643,0.058043,0.478737,173.46,370.63,0.015804,0.135515,0.463285,159.75,419.57,-0.015234,0.124808,0.524467,116.12,405.56,-0.035202,0.090723,0.506947,101.17,381.31,-0.045103,0.079037,0.476642
event_group_000_left_1_left_2_right_1_right_2,1,left_2,471,1782300886.426354,25.555595,0,Left,0.977068,25.86,216.91,0.000001,0.020205,0.271136,29.81,260.72,-0.078319,0.023287,0.325894,64.89,334.76,-0.089921,0.050694,0.418455,87.42,402.00,-0.078187,0.068295,0.502506,115.26,461.02,-0.056867,0.090048,0.576281,194.41,298.73,-0.083556,0.151886,0.373416,249.97,398.43,-0.121382,0.195289,0.498043,279.63,484.94,-0.145707,0.218464,0.606174,293.52,557.66,-0.157540,0.229312,0.697069,176.92,313.95,-0.041465,0.138218,0.392434,159.84,435.00,-0.084802,0.124879,0.543745,88.14,442.28,-0.096608,0.068858,0.552848,47.04,424.02,-0.093413,0.036748,0.530022,160.25,338.47,-0.005343,0.125194,0.423088,129.86,435.84,-0.046356,0.101454,0.544797,64.90,404.84,-0.048831,0.050702,0.506050,56.44,366.06,-0.037460,0.044095,0.457581,146.72,352.71,0.025628,0.114623,0.440886,116.91,419.65,-0.004410,0.091333,0.524564,78.75,402.77,-0.010620,0.061523,0.503462,79.47,369.84,-0.005752,0.062087,0.462298
event_group_000_left_1_left_2_right_1_right_2,1,left_2,472,1782300886.458357,25.588102,0,Left,0.924171,19.86,197.93,0.000000,0.015518,0.247418,35.48,266.74,-0.063538,0.027722,0.333427,78.84,352.68,-0.063644,0.061592,0.440851,104.23,419.21,-0.042914,0.081427,0.524007,131.36,462.10,-0.013021,0.102623,0.577620,207.54,290.47,-0.057824,0.162138,0.363083,262.77,399.82,-0.080717,0.205291,0.499773,278.77,482.56,-0.094386,0.217787,0.603199,282.98,548.92,-0.099512,0.221075,0.686145,193.79,287.12,-0.018130,0.151399,0.358902,174.01,422.94,-0.043915,0.135943,0.528677,102.41,430.05,-0.050244,0.080005,0.537559,62.37,409.02,-0.047213,0.048724,0.511270,176.55,296.58,0.016381,0.137927,0.370726,148.75,413.15,-0.013594,0.116209,0.516442,84.66,398.09,-0.020317,0.066137,0.497611,70.47,365.11,-0.014903,0.055053,0.456388,159.87,303.15,0.047512,0.124897,0.378933,133.78,383.89,0.024317,0.104519,0.479857,96.81,379.78,0.016079,0.075631,0.474728,91.17,351.11,0.017483,0.071225,0.438888
event_group_000_left_1_left_2_right_1_right_2,1,left_2,473,1782300886.493357,25.622415,0,Left,0.940316,15.22,189.04,0.000000,0.011893,0.236296,30.52,266.02,-0.049343,0.023847,0.332530,82.66,356.51,-0.046134,0.064577,0.445643,118.30,425.40,-0.025447,0.092424,0.531753,146.75,467.20,0.003437,0.114651,0.583998,215.45,278.34,-0.045168,0.168320,0.347921,273.97,396.53,-0.058126,0.214041,0.495665,286.89,479.89,-0.064132,0.224136,0.599864,289.81,544.30,-0.064961,0.226412,0.680369,215.65,260.79,-0.012107,0.168477,0.325985,201.47,414.21,-0.027838,0.157402,0.517768,124.31,434.05,-0.032272,0.097117,0.542560,77.61,419.43,-0.030168,0.060636,0.524289,206.14,261.47,0.018039,0.161050,0.326835,181.62,395.60,-0.001296,0.141894,0.494495,111.97,395.39,-0.007195,0.087476,0.494241,83.86,369.24,-0.003798,0.065519,0.461551,190.74,264.38,0.045842,0.149015,0.330476,171.69,359.59,0.032042,0.134136,0.449486,129.96,371.27,0.026933,0.101530,0.464086,110.70,351.63,0.029170,0.086485,0.439535
event_group_000_left_1_left_2_right_1_right_2,1,left_2,474,1782300886.527357,25.657034,0,Left,0.800502,5.89,213.92,0.000000,0.004601,0.267404,25.06,285.13,-0.052763,0.019575,0.356409,100.15,378.07,-0.050105,0.078239,0.472593,161.61,451.77,-0.028114,0.126257,0.564710,211.07,492.01,0.001995,0.164900,0.615012,226.59,297.14,-0.047816,0.177023,0.371424,293.60,402.41,-0.048797,0.229378,0.503018,296.61,483.51,-0.047985,0.231729,0.604392,291.84,544.21,-0.045104,0.227997,0.680258,223.78,269.47,-0.008537,0.174830,0.336840,222.29,406.44,-0.005604,0.173668,0.508049,148.23,432.11,-0.005513,0.115804,0.540139,105.98,422.11,-0.004889,0.082799,0.527639,211.58,258.57,0.028752,0.165295,0.323210,192.13,386.02,0.021953,0.150101,0.482522,118.64,390.67,0.015382,0.092685,0.488341,89.70,369.76,0.014515,0.070082,0.462198,198.19,255.19,0.064535,0.154838,0.318989,187.80,350.60,0.061341,0.146718,0.438244,141.10,370.80,0.060975,0.110237,0.463495,116.69,360.63,0.064457,0.091166,0.450783
event_group_000_left_1_left_2_right_1_right_2,1,left_2,475,1782300886.560360,25.689412,0,Left,0.933334,12.41,176.32,0.000000,0.009696,0.220400,34.28,264.50,-0.054717,0.026781,0.330629,98.99,356.42,-0.048248,0.077336,0.445527,140.98,429.36,-0.021939,0.110144,0.536703,176.40,474.81,0.012239,0.137816,0.593514,241.79,290.69,-0.043657,0.188902,0.363365,312.31,403.30,-0.039023,0.243989,0.504119,319.05,486.08,-0.032359,0.249254,0.607601,317.95,546.85,-0.024562,0.248397,0.683565,237.35,261.54,-0.000382,0.185432,0.326924,259.04,390.30,0.011028,0.202374,0.487874,201.08,417.24,0.015747,0.157093,0.521548,160.58,405.69,0.019448,0.125454,0.507118,221.76,251.00,0.040326,0.173249,0.313756,211.29,378.46,0.039592,0.165071,0.473074,138.91,386.30,0.029477,0.108522,0.482878,107.35,365.27,0.026745,0.083868,0.456584,202.43,249.76,0.079192,0.158150,0.312196,194.77,345.32,0.078496,0.152164,0.431644,151.57,365.56,0.072982,0.118417,0.456950,126.24,353.75,0.073050,0.098627,0.442187
event_group_000_left_1_left_2_right_1_right_2,1,left_2,476,1782300886.593379,25.723033,0,Left,0.935668,12.95,173.42,0.000000,0.010118,0.216776,31.37,263.53,-0.064669,0.024509,0.329411,97.78,366.50,-0.058808,0.076391,0.458130,136.84,445.55,-0.030223,0.106904,0.556942,175.15,496.46,0.007618,0.136838,0.620580,244.82,301.56,-0.053017,0.191266,0.376952,324.16,408.22,-0.059252,0.253252,0.510270,340.23,494.94,-0.060985,0.265801,0.618681,344.90,564.23,-0.058105,0.269456,0.705284,229.20,280.08,-0.005994,0.179059,0.350099,231.58,425.15,-0.011598,0.180919,0.531432,151.69,442.46,-0.014292,0.118506,0.553073,103.18,424.12,-0.011523,0.080608,0.530156,207.68,278.63,0.037315,0.162249,0.348290,187.47,415.45,0.024212,0.146459,0.519312,109.46,412.26,0.010800,0.085519,0.515329,81.22,383.53,0.008904,0.063457,0.479419,184.62,282.42,0.078111,0.144234,0.353019,162.93,381.32,0.067685,0.127289,0.476656,118.34,390.40,0.057330,0.092456,0.488000,99.65,370.14,0.056006,0.077852,0.462678
