unix_time,perf_time,elapsed_sec,event_type,device,active_cameras,frame_motion_ratio,roi_motion_ratio,consecutive_hits,bbox
1783938397.379678,434401.993068500,362.789140,camera_active,/dev/video18,,0.194094,0.194875,3,"(404, 172, 764, 540)"
1783938411.484061,434416.097451039,376.890660,camera_active,/dev/video10,,0.209125,0.210109,3,"(292, 140, 804, 612)"
1783938514.961944,434519.575345054,480.369181,camera_active,/dev/video8,,0.068016,0.092453,3,"(232, 412, 696, 192)"
1783938514.990391,434519.603784100,480.396483,camera_active,/dev/video14,,0.228484,0.230203,3,"(552, 120, 728, 680)"
1783938514.999351,434519.612741059,480.405961,camera_active,/dev/video16,,0.122766,0.123234,3,"(0, 188, 536, 408)"
1783938515.506467,434520.119857519,480.916154,camera_active,/dev/video4,,0.050922,0.077703,3,"(336, 0, 532, 340)"
1783938515.776329,434520.389722574,481.183374,camera_active,/dev/video0,,0.079391,0.087422,3,"(0, 88, 688, 440)"
1783938515.784989,434520.398384600,481.191904,camera_active,/dev/video2,,0.068484,0.104500,3,"(592, 416, 520, 248)"
1783938517.083096,434521.696487342,482.488393,camera_active,/dev/video14,,0.152703,0.161484,3,"(784, 92, 496, 588)"
1783938517.397511,434522.011023867,482.802438,camera_active,/dev/video6,,0.079078,0.099875,3,"(332, 436, 848, 200)"
1783938519.261502,434523.874891337,484.670977,camera_active,/dev/video8,,0.030562,0.061656,3,"(136, 0, 260, 196)"
1783938529.552937,434534.166333310,494.959485,camera_active,/dev/video18,,0.125062,0.126641,3,"(456, 528, 824, 272)"
1783938537.901411,434542.514801933,503.308316,camera_active,/dev/video8,,0.065469,0.081219,3,"(252, 44, 504, 412)"
1783938537.908324,434542.521712985,503.317003,camera_active,/dev/video10,,0.118063,0.118063,3,"(344, 116, 440, 388)"
1783938538.903327,434543.516717371,504.311530,camera_active,/dev/video16,,0.097437,0.097437,3,"(0, 204, 320, 464)"
1783938539.270972,434543.884362351,504.679066,camera_active,/dev/video2,,0.056063,0.102813,3,"(568, 0, 396, 392)"
1783938539.321885,434543.935276168,504.729310,camera_active,/dev/video14,,0.094891,0.106063,3,"(672, 8, 544, 468)"
1783938539.410335,434544.023726452,504.817110,camera_active,/dev/video0,,0.042297,0.066078,3,"(44, 40, 460, 172)"
1783938539.424885,434544.038275662,504.833466,camera_active,/dev/video4,,0.026594,0.076438,3,"(572, 0, 236, 200)"
1783938541.230205,434545.843594488,506.637749,camera_active,/dev/video6,,0.324234,0.331375,3,"(132, 476, 1148, 324)"
1783938541.373958,434545.987346803,506.781380,camera_active,/dev/video4,,0.124734,0.177219,3,"(704, 452, 576, 348)"
1783938561.564501,434566.177889952,526.972901,camera_active,/dev/video14,,0.235875,0.365500,3,"(272, 0, 1008, 368)"
1783938561.582376,434566.195764658,526.987575,camera_active,/dev/video18,,0.339500,0.539031,3,"(0, 0, 1184, 444)"
1783938561.660780,434566.274188875,527.063446,camera_active,/dev/video0,,0.106859,0.111250,3,"(0, 36, 664, 292)"
1783938561.695233,434566.308629667,527.102015,camera_active,/dev/video8,,0.117469,0.130734,3,"(388, 20, 772, 316)"
1783938561.717390,434566.330780846,527.122641,camera_active,/dev/video12,,0.099344,0.187547,3,"(584, 0, 696, 196)"
1783938561.738274,434566.351665485,527.143413,camera_active,/dev/video16,,0.055578,0.074109,3,"(48, 0, 684, 220)"
1783938561.899551,434566.512953243,527.304597,camera_active,/dev/video2,,0.069781,0.079172,3,"(812, 0, 436, 292)"
1783938561.922904,434566.536294551,527.319186,camera_active,/dev/video4,,0.055250,0.133250,3,"(756, 584, 420, 216)"
1783938561.936507,434566.549896884,527.338472,camera_active,/dev/video6,,0.078156,0.089453,3,"(100, 0, 980, 136)"
1783938562.496414,434567.109804658,527.904013,camera_active,/dev/video10,,0.117219,0.127766,3,"(384, 140, 684, 256)"
1783938562.531083,434567.144480332,527.946425,rig_active,,/dev/video0 /dev/video2 /dev/video4 /dev/video6 /dev/video8 /dev/video10 /dev/video12 /dev/video14 /dev/video16 /dev/video18,,,,
1783938574.232774,434578.846165054,539.639584,camera_active,/dev/video12,,0.313437,0.314859,3,"(20, 472, 1260, 328)"
1783938574.239267,434578.852657363,539.648342,camera_active,/dev/video14,,0.196500,0.196766,3,"(408, 356, 756, 444)"
