frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,113,1782483707.336058,5.742118,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
1,114,1782483707.369072,5.774651,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
2,115,1782483707.402587,5.808327,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
3,116,1782483707.434585,5.840724,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
4,117,1782483707.467588,5.874058,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
5,118,1782483707.501117,5.907020,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
6,119,1782483707.536098,5.941716,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
7,120,1782483707.568103,5.974245,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
8,121,1782483707.601609,6.007384,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
9,122,1782483707.634610,6.040618,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
10,123,1782483707.669616,6.075300,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
11,124,1782483707.702138,6.107714,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
12,125,1782483707.734297,6.140650,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
13,126,1782483707.769301,6.175086,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
14,127,1782483707.801808,6.207757,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
15,128,1782483707.834814,6.240695,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
16,129,1782483707.868813,6.275146,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
17,130,1782483707.901321,6.307331,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
18,131,1782483707.934322,6.340538,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
19,132,1782483707.969329,6.375100,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
20,133,1782483708.001839,6.408081,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
21,134,1782483708.035838,6.441513,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
22,135,1782483708.068839,6.475250,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
23,136,1782483708.102353,6.507942,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
24,137,1782483708.135350,6.541315,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
25,138,1782483708.168359,6.574339,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
26,139,1782483708.201788,6.608081,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
27,140,1782483708.234792,6.640902,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
28,141,1782483708.268790,6.674794,0,left_1,0,0,learning_bg,background_update,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
29,142,1782483708.301301,6.707524,0,left_1,1,1,ready,ok,0.001526,0.800000,0.800000,1,1562.50,5.0000,0.4062,0.1250,0.0000,2,258,595,250,50
30,143,1782483708.335302,6.741564,0,left_1,1,1,ready,ok,0.005664,0.874132,0.874132,1,5800.00,2.8780,0.4992,0.1918,0.0289,2,250,568,295,102
31,144,1782483708.368304,6.773823,0,left_1,1,1,ready,ok,0.013971,0.859375,0.859375,1,14306.25,2.1026,0.5849,0.1789,0.2245,8,155,500,410,195
32,145,1782483708.401818,6.807912,0,left_1,1,1,ready,ok,0.014093,0.861111,0.861111,1,14431.25,2.1447,0.6013,0.1864,0.0000,8,158,505,408,190
33,146,1782483708.434815,6.840730,0,left_1,1,1,ready,ok,0.010992,0.881076,0.881076,1,11256.25,2.8824,0.6372,0.2402,0.0560,9,198,565,368,128
34,147,1782483708.466814,6.872773,0,left_1,1,1,ready,ok,0.011865,0.880208,0.880208,1,12150.00,2.8269,0.6752,0.2543,0.0000,10,198,562,368,130
35,148,1782483708.501330,6.907505,0,left_1,1,1,ready,ok,0.011145,0.881076,0.881076,1,11412.50,2.8824,0.6430,0.2436,0.0000,9,198,565,368,128
36,149,1782483708.535328,6.941552,0,left_1,1,1,ready,ok,0.011020,0.880208,0.880208,1,11284.37,2.8269,0.6295,0.2362,0.0000,10,198,562,368,130
37,150,1782483708.568329,6.974467,0,left_1,1,1,ready,ok,0.011871,0.880208,0.880208,1,12156.25,2.8077,0.6819,0.2562,0.0000,9,200,562,365,130
38,151,1782483708.601802,7.007993,0,left_1,1,1,ready,ok,0.013452,0.860243,0.860243,1,13775.00,2.1169,0.5786,0.1756,0.0004,7,158,502,408,192
39,152,1782483708.634802,7.041086,0,left_1,1,1,ready,ok,0.012344,0.881076,0.881076,1,12640.62,2.7925,0.6844,0.2578,0.0000,10,195,562,370,132
40,153,1782483708.666803,7.072795,0,left_1,1,1,ready,ok,0.014462,0.874132,0.874132,1,14809.37,2.5254,0.7175,0.2695,0.0173,8,192,545,372,148
41,154,1782483708.702322,7.107883,0,left_1,1,1,ready,ok,0.014645,0.872396,0.872396,1,14996.87,2.5254,0.7111,0.2729,0.0223,6,192,542,372,148
42,155,1782483708.735335,7.141087,0,left_1,1,1,ready,ok,0.015820,0.867188,0.867188,1,16200.00,2.3692,0.6724,0.2589,0.0445,9,180,528,385,162
43,156,1782483708.768543,7.174564,0,left_1,1,1,ready,ok,0.013364,0.855035,0.855035,1,13684.37,1.5263,0.6169,0.4415,0.3579,10,995,520,218,142
