timestamp,event,clicked_cameras,xyz_x_m,xyz_y_m,xyz_z_m,clamped,position_status,manual_variant,manual_spread_m,manual_inside,manual_outside,cam_0_display_x,cam_0_display_y,cam_0_norm_x,cam_0_norm_y,cam_1_display_x,cam_1_display_y,cam_1_norm_x,cam_1_norm_y,cam_2_display_x,cam_2_display_y,cam_2_norm_x,cam_2_norm_y,cam_3_display_x,cam_3_display_y,cam_3_norm_x,cam_3_norm_y
1782066820.087453,1,2,-0.007725,-0.166465,0.000000,0,"1/1 manual floor hits (0 outside, flip_y)",flip_y,0.000000,1,0,,,,,,,,,880.00,622.22,0.688038,0.778751,,,,
1782066823.432995,2,2 3,0.007541,-0.024332,0.000000,0,"2/2 manual floor hits (0 outside, flip_xy)",flip_xy,0.032432,2,0,,,,,,,,,880.00,622.22,0.688038,0.778751,237.78,626.67,0.185909,0.784314
1782066826.039676,3,1 2 3,-0.003872,-0.020924,0.000000,0,"3/3 manual floor hits (0 outside, flip_xy)",flip_xy,0.022646,3,0,,,,,1064.44,577.78,0.832247,0.723126,880.00,622.22,0.688038,0.778751,237.78,626.67,0.185909,0.784314
1782066829.557777,4,0 1 2 3,-0.010653,-0.016084,0.000000,0,"4/4 manual floor hits (0 outside, flip_xy)",flip_xy,0.029374,4,0,302.22,608.89,0.236296,0.762064,1064.44,577.78,0.832247,0.723126,880.00,622.22,0.688038,0.778751,237.78,626.67,0.185909,0.784314
1782066968.359380,1,2,-0.002293,-0.036913,0.000000,0,"1/1 manual floor hits (0 outside, flip_xy)",flip_xy,0.000000,1,0,,,,,,,,,928.89,637.78,0.726262,0.798220,,,,
1782066970.028605,2,2 3,0.012728,-0.018976,-0.000000,0,"2/2 manual floor hits (0 outside, flip_xy)",flip_xy,0.023396,2,0,,,,,,,,,928.89,637.78,0.726262,0.798220,257.78,622.22,0.201546,0.778751
1782066972.353169,3,1 2 3,0.004877,-0.022712,0.000000,0,"3/3 manual floor hits (0 outside, flip_xy)",flip_xy,0.015806,3,0,,,,,1051.11,568.89,0.821823,0.712001,928.89,637.78,0.726262,0.798220,257.78,622.22,0.201546,0.778751
1782066974.761470,4,0 1 2 3,0.001292,-0.017151,0.000000,0,"4/4 manual floor hits (0 outside, flip_xy)",flip_xy,0.025337,4,0,311.11,604.44,0.243246,0.756501,1051.11,568.89,0.821823,0.712001,928.89,637.78,0.726262,0.798220,257.78,622.22,0.201546,0.778751
1782067198.042612,1,2,-0.060486,-0.049598,0.000000,0,"1/1 manual floor hits (0 outside, flip_xy)",flip_xy,0.000000,1,0,,,,,,,,,831.11,584.44,0.649813,0.731470,,,,
1782067202.624420,2,2 3,-0.013176,-0.025030,0.000000,0,"2/2 manual floor hits (0 outside, flip_xy)",flip_xy,0.053308,2,0,,,,,,,,,831.11,584.44,0.649813,0.731470,244.44,631.11,0.191122,0.789876
1782067209.084301,3,0 2 3,-0.054561,-0.010122,0.000000,0,"3/3 manual floor hits (0 outside, flip_xy)",flip_xy,0.043045,3,0,271.11,624.44,0.211971,0.781532,,,,,831.11,584.44,0.649813,0.731470,244.44,631.11,0.191122,0.789876
1782067212.780953,4,0 1 2 3,-0.030003,-0.009221,0.000000,0,"4/4 manual floor hits (0 outside, flip_xy)",flip_xy,0.041118,4,0,271.11,624.44,0.211971,0.781532,1028.89,584.44,0.804448,0.731470,831.11,584.44,0.649813,0.731470,244.44,631.11,0.191122,0.789876
1782067338.299432,1,2,-0.057731,-0.051517,0.000000,0,"1/1 manual floor hits (0 outside, flip_xy)",flip_xy,0.000000,1,0,,,,,,,,,826.67,586.67,0.646338,0.734251,,,,
1782067342.740033,2,2 3,-0.014991,-0.026278,-0.000000,0,"2/2 manual floor hits (0 outside, flip_xy)",flip_xy,0.049636,2,0,,,,,,,,,826.67,586.67,0.646338,0.734251,257.78,622.22,0.201546,0.778751
1782067345.383174,3,1 2 3,-0.002040,-0.016334,0.000000,0,"3/3 manual floor hits (0 outside, flip_xy)",flip_xy,0.033120,3,0,,,,,1046.67,577.78,0.818348,0.723126,826.67,586.67,0.646338,0.734251,257.78,622.22,0.201546,0.778751
1782067350.600249,4,0 1 2 3,-0.025423,-0.014859,0.000000,0,"4/4 manual floor hits (0 outside, flip_xy)",flip_xy,0.037666,4,0,300.00,617.78,0.234558,0.773189,1046.67,577.78,0.818348,0.723126,826.67,586.67,0.646338,0.734251,257.78,622.22,0.201546,0.778751
1782067869.400299,1,3,0.038370,-0.004791,0.000000,0,"1/1 manual floor hits (0 outside, flip_xy)",flip_xy,0.000000,1,0,,,,,,,,,,,,,220.00,633.33,0.172009,0.792657
